Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,RSI,MACD,BB_High,BB_Low,Daily_Return,Rolling_Mean_5,Rolling_Mean_10,Rolling_STD_5,Rolling_STD_10,Volatility,Return_5,Return_10,Return_20,Lag_1,Lag_2,Lag_3,Lag_5,Lag_10,Lag_20,Target
2015-03-16,27.758129119873047,27.758129119873047,27.296050296116164,27.52042451473041,143497200,27.942291259765625,28.37149257659912,26.537694664001464,27.866291788846596,27.853932825730446,51.17750122653113,0.2153461397900216,29.570623397785763,27.172361755412478,0.011004494247454977,27.535525512695312,27.942291259765625,0.2386844407179496,0.49537921089209214,0.013711730226265513,-0.017225103521133156,-0.032070542090229526,-0.016761116442084556,27.455989837646484,27.647048950195312,27.156082153320312,28.24464607238769,28.67784309387207,28.2313175201416,1
2015-03-17,28.222431182861328,28.284634002627094,27.91363740266719,27.969175876729444,204092400,27.89075164794922,28.36271743774414,26.618291206359864,27.93104440594018,27.88902790736196,56.042645181047256,0.22462023732398606,29.563513317376415,27.161921558111867,0.016726705931195962,27.647936248779295,27.89075164794922,0.39400239891126176,0.4252636477610874,0.014193522165114207,0.020319812351451638,-0.017934414900797724,-0.0061801248410203735,27.758129119873047,27.455989837646484,27.647048950195312,27.660377502441406,28.73782730102539,28.397933959960938,1
2015-03-18,28.54010581970215,28.69339252092788,28.073583066505737,28.21353938399484,261083600,27.889196395874023,28.359940433502196,26.718872146606444,28.04178284480599,27.951035327584837,59.049429396403454,0.25466805984275354,29.558824118858485,27.161056748145906,0.011256104578039938,27.924740982055663,27.889196395874023,0.4449419489189617,0.4225817834729447,0.014339511432084078,0.05096551330813437,-0.0005446388441312511,-0.0019422566996483148,28.222431182861328,27.758129119873047,27.455989837646484,27.156082153320312,28.5556583404541,28.595645904541016,0
2015-03-19,28.324615478515625,28.713384710573685,28.302400432806465,28.602307787128524,183238000,27.913410949707032,28.34938802719116,26.81509895324707,28.09320696002592,27.986614389578246,56.23921218309383,0.25811748833297443,29.54561146861208,27.15316458577024,-0.007550439460450864,28.060254287719726,27.913410949707032,0.4423971123130188,0.44140557590157037,0.014433037394980548,0.02450773424465358,0.008622658151004492,-0.007395942464981764,28.54010581970215,28.222431182861328,27.758129119873047,27.647048950195312,28.082469940185547,28.535663604736328,0
2015-03-20,27.96917533874512,28.524558373785165,27.80478193325487,28.491236645908533,274780400,27.89786014556885,28.309400749206542,26.897622833251955,28.070655756156683,27.98495352759414,51.85549698737639,0.22952432299936731,29.50031021842839,27.118491279984696,-0.012548807239417203,28.162891387939453,27.89786014556885,0.3055113735804387,0.43583958492250335,0.01453823310040021,0.01869120378224265,-0.005529237050601599,-0.02779894186909926,28.324615478515625,28.54010581970215,28.222431182861328,27.455989837646484,28.124683380126957,28.7689208984375,1
2015-03-23,28.26019287109375,28.402371208638087,28.106906162375846,28.240199836860707,150838800,27.899414825439454,28.24508743286133,26.96764507293701,28.105117049781605,28.01116679840363,54.95162959988472,0.22772168239259472,29.29205549118659,27.198119374536066,0.010404937894092692,28.263304138183592,27.899414825439454,0.20528655610136318,0.4372395286492137,0.013251298003965914,0.018087088976802113,0.0005504334756474272,-0.043533687684358835,27.96917533874512,28.324615478515625,28.54010581970215,27.758129119873047,28.24464607238769,29.546459197998047,0
2015-03-24,28.14467430114746,28.44457999143216,28.115793213344112,28.26463759420105,131369200,27.94784450531006,28.184217262268067,27.034825859069823,28.112309277302668,28.02388179866495,53.48137435062866,0.21449908166630038,29.097346227253166,27.27108829728297,-0.004087678044987775,28.24775276184082,27.94784450531006,0.21199262586909917,0.43463454360279463,0.013224950022757944,-0.0027551447006836094,0.01750868362744895,-0.0414617597488921,28.26019287109375,27.96917533874512,28.324615478515625,28.222431182861328,27.660377502441406,29.36207771301269,0
2015-03-25,27.409343719482425,28.17355357044147,27.409343719482425,28.11135075836797,206620800,27.973170661926268,28.124124813079835,27.099514770507813,27.984497357698984,27.965354362552326,45.19252450366939,0.14303621040414427,29.074379669904566,27.173869956255103,-0.026126810841618275,28.021600341796876,27.973170661926268,0.3679328471678944,0.38827911075731847,0.013277284147257509,-0.03962010888688161,0.009326145234508587,-0.04200625245616718,28.14467430114746,28.26019287109375,27.96917533874512,28.54010581970215,27.156082153320312,28.61119270324707,1
2015-03-26,27.600399017333984,27.74257737236355,27.236066770708277,27.271612206915503,190291600,27.968505668640137,28.05547924041748,27.16373188018799,27.914661295814437,27.93059671062677,47.47053555396939,0.10065761752987967,28.946977933618538,27.163980547216422,0.0069704440867643935,27.876757049560545,27.968505668640137,0.3613145465586776,0.39288558090966963,0.013003649365297434,-0.02556844811294834,-0.0016873385996952761,-0.04738538437439155,27.409343719482425,28.14467430114746,28.26019287109375,28.324615478515625,27.647048950195312,28.97331047058105,0
2015-03-27,27.380464553833008,27.702586988271232,27.304933051374206,27.673707595254548,158184800,27.960953140258788,27.997607898712157,27.225409049987793,27.817534615454175,27.878203171884504,45.14438074231029,0.048763291351615834,28.906430334956823,27.08878546246749,-0.007968524779763175,27.759014892578126,27.960953140258788,0.41552431628753916,0.40438996388463455,0.012734228254627559,-0.021048557126980616,-0.002750776215320383,-0.040557545698544195,27.600399017333984,27.409343719482425,28.14467430114746,27.96917533874512,27.455989837646484,28.537891387939453,1
