Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192604064941406,24.659506182275138,23.75446781268404,24.648441478964468,212818400
2015-01-05,23.511070251464844,24.042144175968954,23.325195306419012,23.962483002881466,257142000
2015-01-06,23.513275146484375,23.772173022582894,23.152586716885562,23.575233439406734,263188400
2015-01-07,23.842979431152344,23.94255500406204,23.610634176714214,23.72127445249682,160423600
2015-01-08,24.759084701538086,24.816618126764887,24.053199089993452,24.170479219019555,237458000
2015-01-09,24.7856388092041,25.060026262015647,24.387333080738237,24.931683117483658,214798000
2015-01-12,24.174903869628906,24.922831637875944,24.075328281845096,24.916193490455274,198603200
2015-01-13,24.389543533325195,24.960447781897706,24.09966654067397,24.65729280767819,268367600
2015-01-14,24.296600341796875,24.449282743613015,24.008935007427194,24.128426683785232,195826400
2015-01-15,23.637187957763672,24.35413645717828,23.60178394813456,24.34086016459694,240056000
2015-01-16,23.453521728515625,23.80535863149471,23.278709915973817,23.683653670789532,314053200
2015-01-20,24.057619094848633,24.112939226436037,23.566376056234642,23.862891151189643,199599600
2015-01-21,24.241287231445312,24.57541967816757,23.958046682410192,24.108517538238907,194303600
2015-01-22,24.871938705444336,24.887428279247118,24.278906655479844,24.39839837691712,215185600
2015-01-23,25.000274658203125,25.17065992099816,24.679416881433152,24.849803832464627,185859200
2015-01-26,25.026826858520508,25.30564079070656,24.960443714443343,25.168446258435488,222460000
2015-01-27,24.150564193725586,24.88964226473819,24.12622319302464,24.87636428093233,382274800
2015-01-28,25.515853881835938,26.13765323403414,25.515853881835938,26.029224573643976,585908400
2015-01-29,26.310260772705078,26.37443234220827,25.571182772424184,25.739356482562314,337745600
2015-01-30,25.925228118896484,26.553664023772246,25.856630005500925,26.199615507769245,334982000
2015-02-02,26.250513076782227,26.370004785647765,25.68624864341562,26.122171630877833,250956400
2015-02-03,26.254940032958984,26.352302335998324,26.02480803700248,26.221747609729693,207662800
2015-02-04,26.4563045501709,26.666522105734966,26.179703836194584,26.221747684954753,280598800
2015-02-05,26.6451358795166,26.70956070561401,26.49184916587451,26.662906901105913,168984800
2015-02-06,26.420759201049805,26.71400223470758,26.31412460021994,26.662906100062138,174826400
2015-02-09,26.596261978149414,26.622919358205184,26.30968327825307,26.336342353208384,155559200
2015-02-10,27.10721206665039,27.13609315192371,26.694007464418103,26.696227782593457,248034000
2015-02-11,27.74258041381836,27.75146677384439,27.213854704018523,27.273835515569395,294247200
2015-02-12,28.093578338623047,28.3201762363106,27.895861528916974,28.004716451194586,297898000
2015-02-13,28.23131561279297,28.27574571104656,27.913635495070917,28.27574571104656,217088800
2015-02-17,28.397926330566406,28.63118854509799,28.195765518652458,28.32239314213835,252609600
2015-02-18,28.595645904541016,28.608974594134033,28.313509545559175,28.353497309237724,179566800
2015-02-19,28.53567123413086,28.664520918516914,28.509013847637164,28.542335580754283,149449600
2015-02-20,28.7689208984375,28.7689208984375,28.44679852386642,28.573424443890232,195793600
2015-02-23,29.546472549438477,29.546472549438477,28.804479240320354,28.884454790331883,283896400
2015-02-24,29.362083435058594,29.679765305901768,29.139929513277295,29.53314290397415,276912400
2015-02-25,28.611196517944336,29.235451763904805,28.469018171309017,29.226563710478064,298846800
2015-02-26,28.973308563232422,29.07327713106697,28.126902824541162,28.61119665484146,365150000
2015-02-27,28.537887573242188,29.00663237357377,28.4890134507584,28.88000304082967,248059200
2015-03-02,28.6778507232666,28.942214448908402,28.502350605714504,28.71339616650248,192386800
2015-03-03,28.737825393676758,28.773370827213807,28.455689023399984,28.648965199633246,151265200
2015-03-04,28.555660247802734,28.782258170449772,28.506789509388113,28.680069276765426,126665200
2015-03-05,28.082468032836914,28.602307210529034,27.93806769628933,28.56454146409485,226068400
2015-03-06,28.124675750732422,28.74004114058892,28.049144258829877,28.524551645020985,291368400
2015-03-09,28.244640350341797,28.784475968478535,27.782559935616113,28.426806439526047,354114000
2015-03-10,27.660375595092773,28.262412309033678,27.502646569217422,28.08246823773491,275426400
2015-03-11,27.15608787536621,27.718136880404018,27.12720848319452,27.713694548877402,275756000
2015-03-12,27.64704704284668,27.74701729622156,27.020573228981956,27.171637920724486,193450800
2015-03-13,27.456005096435547,27.8581048871833,27.231630833560374,27.635950943417722,207309200
2015-03-16,27.758119583129883,27.758119583129883,27.29604091812747,27.520415059654415,143497200
2015-03-17,28.222427368164062,28.284630179522154,27.91363362970817,27.969172096263538,204092400
2015-03-18,28.54010581970215,28.69339252092788,28.073583066505737,28.213539383994842,261083600
2015-03-19,28.32461929321289,28.713388577629537,28.302404244511855,28.602311639224784,183238000
2015-03-20,27.96917152404785,28.52455448333958,27.80477814097911,28.491232760007673,274780400
2015-03-23,28.260194778442383,28.40237312558268,28.106908059378792,28.240201742859963,150838800
2015-03-24,28.144676208496094,28.44458191910523,28.11579511873549,28.264639509679526,131369200
2015-03-25,27.40934944152832,28.173559452025806,27.40934944152832,28.111356626966685,206620800
2015-03-26,27.60039520263672,27.74257353801557,27.23606300636597,27.27160843766041,190291600
2015-03-27,27.380464553833008,27.702586988271232,27.304933051374206,27.673707595254548,158184800
2015-03-30,28.07358169555664,28.08024603964981,27.54707647850533,27.558184848593484,188398800
2015-03-31,27.64260482788086,28.100241236455535,27.62705412549918,28.011379353603317,168362400
2015-04-01,27.602615356445312,27.795889812565672,27.347138094649253,27.729242980827802,162485600
2015-04-02,27.84033203125,27.893648502925753,27.589298686164092,27.775907184479266,128880400
2015-04-06,28.291297912597656,28.3268433490019,27.620393902014577,27.651495311418447,148776000
2015-04-07,27.99360466003418,28.462347683151513,27.986940316302068,28.35571479363924,140049200
2015-04-08,27.902528762817383,28.080252556075337,27.762572419684044,27.95806723634803,149316800
2015-04-09,28.115798950195312,28.120242977640842,27.693707867462628,27.95806987387628,129936000
2015-04-10,28.23575210571289,28.260189163168846,27.826989862630114,27.98027485633653,160752000
2015-04-13,28.180219650268555,28.56232629417243,28.126903193051565,28.51789280584231,145460400
2015-04-14,28.058032989501953,28.2779648347118,27.971393120331427,28.213540012397917,102098400
2015-04-15,28.16466522216797,28.242418731765728,27.993607501052892,28.08246938126436,115881600
2015-04-16,28.029155731201172,28.235758915493303,28.01582704024673,28.053592794550752,113476000
2015-04-17,27.713703155517578,28.02249698694898,27.649278311527574,27.891426979965868,207828000
2015-04-20,28.34683609008789,28.4623553673972,27.80700206835276,27.89586396353667,188217200
2015-04-21,28.193544387817383,28.480121347261836,28.140226246381843,28.45790799734594,129740400
2015-04-22,28.57343292236328,28.628971396175867,28.06247998022732,28.211322683269117,150618000
2015-04-23,28.80668830871582,28.973303690350882,28.46679320136418,28.50233862966466,183083600
2015-04-24,28.94220542907715,29.019960638198242,28.70894319151285,28.9888592325096,178103600
2015-04-27,29.468713760375977,29.57535007404952,29.135482907195097,29.393182247206862,387816800
2015-04-28,29.004405975341797,29.8885773449825,28.784475834361594,29.87080802009011,475696000
2015-04-29,28.577871322631836,29.233224506626065,28.502339826670195,28.91554612607042,253544400
2015-04-30,27.80255889892578,28.57787547888214,27.675931252944945,28.57787547888214,332781600
2015-05-01,28.646743774414062,28.90888713039242,27.835883422298416,28.01360551944855,234050400
2015-05-04,28.59119987487793,29.00662988028145,28.493451638312393,28.768923633197197,203953200
2015-05-05,27.94695472717285,28.535661067838543,27.942510701073854,28.469014235548403,197085600
2015-05-06,27.771451950073242,28.157999156225962,27.404897775923576,28.11578938435379,288564000
2015-05-07,27.9432315826416,28.126158622234403,27.666608877322254,27.833920256290526,175763600
2015-05-08,28.46970558166504,28.46970558166504,28.132851520225067,28.26000810339415,222201600
2015-05-11,28.17969512939453,28.456316106647098,28.025768130626794,28.41839260613247,168143200
2015-05-12,28.079307556152344,28.30461895496568,27.84507097887534,28.019074515376378,192640000
2015-05-13,28.110536575317383,28.3737731531699,28.079305261163608,28.14176788947116,138776800
2015-05-14,28.766401290893555,28.766401290893555,28.36708631302993,28.42285677051672,180814000
2015-05-15,28.726245880126953,28.886865057060014,28.60132061005864,28.79317110450878,152832000
2015-05-18,29.04302406311035,29.161257160981794,28.634783904740452,28.63924649445973,203531600
2015-05-19,29.016252517700195,29.196948238276978,28.920325569814313,29.154562149952394,178532800
2015-05-20,29.014026641845703,29.219261547929744,28.853407427700088,29.000642274660084,145819600
2015-05-21,29.310720443725586,29.364261306407442,28.96271334618968,29.016254208871537,158921600
2015-05-22,29.567262649536133,29.663189601300626,29.312949513264282,29.35756860001525,182384000
2015-05-26,28.915870666503906,29.649811919091093,28.804329732405115,29.580657084583308,282790400
2015-05-27,29.45572280883789,29.50480108287714,29.011792153608145,29.076484385409774,183332800
2015-05-28,29.397716522216797,29.435640016117567,29.246022546613716,29.415563472986186,122933200
2015-05-29,29.063100814819336,29.324106149911614,28.978328629351232,29.275027874530984,203538000
2015-06-01,29.121095657348633,29.310716542310313,29.01178775769887,29.063095616798922,128451200
2015-06-02,28.991714477539062,29.147871068876178,28.848942250608214,28.96940493422302,134670400
2015-06-03,29.027406692504883,29.210335427396807,28.978328417483077,29.147872787179708,123934000
2015-06-04,28.857858657836914,29.130018696669055,28.757472539503887,28.90693692083666,153800400
2015-06-05,28.699474334716797,28.93148133012239,28.634782105665426,28.889095240348773,142507200
2015-06-08,28.509859085083008,28.824405288183716,28.293469433641413,28.75524706027214,210699200
2015-06-09,28.425085067749023,28.572319885753103,28.02353881333458,28.26446588519156,224301600
2015-06-10,28.750783920288086,28.853399643667018,28.521008233053088,28.536623891216717,156349200
2015-06-11,28.686086654663086,29.040785884994175,28.66154752152306,28.817704094251404,141563600
