Model,MAE,RMSE,R2
Random Forest,0.011340953912780873,0.01485535460734076,-0.26402041912964513
XGBoost,0.01325564082801235,0.016898866251165427,-0.6356982184544233
LightGBM,0.016161864076808627,0.019800326101391673,-1.2456017040041334
