Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.5620437956204379,0.5620437956204379,1.0,0.719626168224299,0.5068783068783069
Random Forest,0.44282238442822386,0.625,0.021645021645021644,0.04184100418410042,0.49496151996151994
XGBoost,0.44768856447688565,0.625,0.04329004329004329,0.08097165991902834,0.5165584415584416
LightGBM,0.44282238442822386,0.5625,0.03896103896103896,0.0728744939271255,0.5098124098124098
